conversation_id,tag
674436bb9ab74e1b0c93998b,
67443d9e9ab74e1b0c4f2d5c,Online Consultation
674452629ab74e1b0ce44144,Auto-Replen
674456149ab74e1b0c5c448a,Returns and Refunds
67447af19ab74e1b0c134de5,URGENT CLINIC
674457e19ab74e1b0c9633db,Order Confirmation
6744525b9ab74e1b0ce362c9,Order Confirmation
674445309ab74e1b0c3c901c,Order Confirmation
674445309ab74e1b0c3c901c,URGENT CLINIC
67446c8a9ab74e1b0c3f4a6e,Order Confirmation
674470e49ab74e1b0ccd8b66,Order Confirmation
67448a86dc2af9d03c1b9ea6,Online Consultation
67442a649ab74e1b0c6f82da,POG
67442a649ab74e1b0c6f82da,Discount Requests
67442a649ab74e1b0c6f82da,EasyPOG
67442a649ab74e1b0c6f82da,POG Expiry - November 24
6744a5959ab74e1b0c83d4b6,Instructions - Pre Delivery
674467d19ab74e1b0ca367d0,POG - November 24
674467d19ab74e1b0ca367d0,POG
674467d19ab74e1b0ca367d0,CSAT Positive
674467d19ab74e1b0ca367d0,Product Recommendation
674467d19ab74e1b0ca367d0,Duplicate thread
6744a24e9ab74e1b0c1ae453,Online Consultation
674475e39ab74e1b0c736e00,Nov 2024 - Plan
674455a99ab74e1b0c4e3dfc,POG
674455a99ab74e1b0c4e3dfc,Nov 2024 - Plan
674455a99ab74e1b0c4e3dfc,EasyPOG
674455a99ab74e1b0c4e3dfc,POG Expiry - November 24
67444ed79ab74e1b0c720c4d,POG Expiry - November 24
67444ed79ab74e1b0c720c4d,EasyPOG
67444ed79ab74e1b0c720c4d,Nov 2024 - Plan
67444ed79ab74e1b0c720c4d,POG
674451579ab74e1b0cc15795,Nov 2024 - Plan
67444ea69ab74e1b0c6bb03c,Nov 2024 - Plan
67444f7b9ab74e1b0c86c978,Nov 2024 - Plan
6744aa369ab74e1b0c1503e1,Nov 2024 - Plan
6744b5f4b77b12c9d3fcd15c,Nov 2024 - Plan
6744b6b2ca0f943680a0f1fe,Nov 2024 - Plan
67448f971fc3902c01a77037,Discount Requests
67448f971fc3902c01a77037,URGENT CLINIC
6744bf5c9ab74e1b0c534c17,CSAT Positive
6744a6229ab74e1b0c9580b2,Instructions - Pre Delivery
674435619ab74e1b0c6f8c27,EasyPOG
6744771e9ab74e1b0c9ab756,Quick win
674460099ab74e1b0ca33f0f,Quick win
674445ba9ab74e1b0c4d8d3a,proactive BF
674445ba9ab74e1b0c4d8d3a,Duplicate thread
674445ba9ab74e1b0c4d8d3a,POG
6744cd119ab74e1b0ca0e996,
6744a7649ab74e1b0cbe571f,Instructions - Pre Delivery
67447cbe9ab74e1b0c4e09ac,Nov 2024 - Plan
6744604dea8d74e42ffb8096,Nov 2024 - Plan
6744604dea8d74e42ffb8096,November - Prompt
67447dca65626cb51e33a38f,November - Prompt
67447dca65626cb51e33a38f,Nov 2024 - Plan
6744b6d65421f80711642d22,Nov 2024 - Plan
674493879ab74e1b0c365af8,Nov 2024 - Plan
674497ca9ab74e1b0cc39ae9,Nov 2024 - Plan
674499b01e9986c24f0bbbbe,Nov 2024 - Plan
674499b01e9986c24f0bbbbe,November - Prompt
67449de19ab74e1b0c8ae855,Nov 2024 - Plan
6744aa369ab74e1b0c14fa71,Nov 2024 - Plan
6744b5db3cd8fccb2d16a202,Nov 2024 - Plan
67446daa9ab74e1b0c62d3e0,Nov 2024 - Plan
67447a8d9ab74e1b0c073363,Nov 2024 - Plan
6744a2409ab74e1b0c1940e6,Online Consultation
6744a2329ab74e1b0c17a59c,Online Consultation
6745a57f93cb769cfb7f2e01,Unsubscribed from Prompts
6745a8f093cb769cfbeafd0b,Auto-Replen
674590cf93cb769cfb1a675f,Discount Requests
6745b07593cb769cfbd42feb,Auto-Replen
67448d48c5c06b4b553d94ec,Online Consultation
6745ad3793cb769cfb70098d,Online Consultation
674442009ab74e1b0cd55597,URGENT CLINIC
674442009ab74e1b0cd55597,Order Confirmation
674442009ab74e1b0cd55597,proactive BF
674442009ab74e1b0cd55597,Duplicate thread
674442009ab74e1b0cd55597,Plan Clarification
6744c5f19ab74e1b0cfa9764,EasyPOG
6744c5f19ab74e1b0cfa9764,Nov 2024 - Plan
6745930a87a09696b6f85c15,Nov 2024 - Plan
6745939893cb769cfb6c75ff,Nov 2024 - Plan
6745a079f0d372bd51ac9ea7,Nov 2024 - Plan
6745a079f0d372bd51ac9ea7,November - Prompt
6745ac0793cb769cfb4bf445,Nov 2024 - Plan
6745b4c693cb769cfb5aa197,Nov 2024 - Plan
6745a9e593cb769cfb0856a0,CSAT Positive
6745a9e593cb769cfb0856a0,POG Expiry - November 24
6745a9e593cb769cfb0856a0,POG
6745a8c293cb769cfbe5ce3d,Is Prompt
6745a24e93cb769cfb1cb543,Is Prompt
6745a56293cb769cfb7bd450,Is Prompt
6745b3fc93cb769cfb42735d,Auto-Replen
6745a3da93cb769cfb4d55bd,Is Prompt
6744fbb89ab74e1b0c4aa1b1,Online Consultation
6745b02293cb769cfbca4509,Duplicate thread
6745b02293cb769cfbca4509,Returns and Refunds
6745b02293cb769cfbca4509,Discount Requests
674580f293cb769cfb851b91,Discount Requests
674580f293cb769cfb851b91,Returns and Refunds
674580f293cb769cfb851b91,CSAT Positive
6745b7d393cb769cfbba669e,
6745aae793cb769cfb292e0d,Is Prompt
6745b3f193cb769cfb411d06,Quick win
6745b3f193cb769cfb411d06,Auto-Replen
6745aa4e93cb769cfb156178,CSAT Positive
6745aa4e93cb769cfb156178,POG
6745a3cb93cb769cfb4b58ea,Is Prompt
6745b8e993cb769cfbde8271,
6745c11e93cb769cfbe1c2bb,Discount Requests
6745c11e93cb769cfbe1c2bb,Returns and Refunds
6745c95993cb769cfbe7d655,Online Consultation
67446b9452ebbd1a098a5a21,Online Consultation
67446d7bd6737f6da266f693,Online Consultation
6744b43a393f99a5a22e10f1,Overcomm
6744b43a393f99a5a22e10f1,Instructions - Pre Delivery
6745a7b493cb769cfbc4ea9b,Online Consultation
6744b69d3cd8fccb2d16aaa8,Nov 2024 - Plan
674558fd93cb769cfb238301,Tag me
674558fd93cb769cfb238301,URGENT CLINIC
674558fd93cb769cfb238301,Nov 2024 - Plan
6745b47493cb769cfb5115d4,POG
6745b47493cb769cfb5115d4,Discount Requests
6745b47493cb769cfb5115d4,EasyPOG
6745b47493cb769cfb5115d4,URGENT CLINIC
674441ae9ab74e1b0ccc1aef,POG
674441ae9ab74e1b0ccc1aef,UX
6745ad7b91f1ae6aef4671da,Online Consultation
6745b07b75db51175f75b04c,Online Consultation
6745b00c5d9a12c96a6af311,Online Consultation
6745b1215d9a12c96a6b08fe,Online Consultation
674580cd93cb769cfb82023b,POG - November 24
674580cd93cb769cfb82023b,Other Clinician Enquiry
674580cd93cb769cfb82023b,Product Recommendation
674580cd93cb769cfb82023b,POG
674580cd93cb769cfb82023b,Duplicate thread
6745ed1693cb769cfb51a57d,
6745a89693cb769cfbe09a8c,Is Prompt
6745e1d093cb769cfbec59b5,Unsubscribed from Prompts
6745e1d093cb769cfbec59b5,URGENT CLINIC
6744b6bc9ab74e1b0c75b99e,Quick win
6744b6bc9ab74e1b0c75b99e,Order Confirmation
674482739ab74e1b0c08c2b6,Quick win
674482739ab74e1b0c08c2b6,Order Confirmation
674482739ab74e1b0c08c2b6,URGENT CLINIC
6744a8299ab74e1b0cd574a8,Order Confirmation
6745b50893cb769cfb6315a5,Order Confirmation
6745b50893cb769cfb6315a5,UX
6745be0593cb769cfb7ea19c,URGENT CLINIC
6745be0593cb769cfb7ea19c,Order Confirmation
6744d5689ab74e1b0c5b8549,Order Confirmation
6744d5689ab74e1b0c5b8549,Quick win
6744d4039ab74e1b0c3c2e1a,Quick win
6744d4039ab74e1b0c3c2e1a,Order Confirmation
6745effb93cb769cfbaba266,Tag me
6745effb93cb769cfbaba266,Order Confirmation
6745effb93cb769cfbaba266,URGENT CLINIC
6745b67893cb769cfb8fe5fb,Quick win
6745aa0f93cb769cfb0d4a61,Nov 2024 - Plan
6745f77593cb769cfb8f72ab,POG
6745f77593cb769cfb8f72ab,POG - November 24
6745f77593cb769cfb8f72ab,CSAT Positive
6745abf693cb769cfb49f680,Is Prompt
6745a56e93cb769cfb7d4684,Is Prompt
6745b42de19c5f2cbbec6657,Product Recommendation
6745b42de19c5f2cbbec6657,POG
6745fef893cb769cfb6f5b09,
6745fe4e93cb769cfb59f73d,Online Consultation
6745d56893cb769cfb635d02,
6745e73f93cb769cfb9a8c45,Auto-Replen
6745ac7293cb769cfb586f8c,Quick win
6745ac7293cb769cfb586f8c,Is Prompt
6744885c9ab74e1b0cc9fe95,Auto-Replen
674492ac9ab74e1b0c19143c,Plan Clarification
674492ac9ab74e1b0c19143c,Urgent
674492ac9ab74e1b0c19143c,Duplicate thread
6745adfb93cb769cfb889fb9,Is Prompt
6745adfb93cb769cfb889fb9,Product Recommendation
6745adfb93cb769cfb889fb9,CSAT Positive
6745adfb93cb769cfb889fb9,POG
6745abe593cb769cfb480392,Is Prompt
6745a80d93cb769cfbcfaa7e,Is Prompt
6745a70c93cb769cfbb01f2c,Is Prompt
6745a70c93cb769cfbb01f2c,Quick win
6745afcd93cb769cfbc0a536,Is Prompt
674603b393cb769cfbf3d8ea,Overcomm
6745afcf93cb769cfbc0e9b8,Is Prompt
6745afcf93cb769cfbc0e9b8,Quick win
6744ba539ab74e1b0ccf857c,Overcomm
6744b6039ab74e1b0c6350d1,URGENT CLINIC
6744b6039ab74e1b0c6350d1,Overcomm
67444d729ab74e1b0c43cde5,Other Clinician Enquiry
67444d729ab74e1b0c43cde5,proactive BF
6744ad639ab74e1b0c751c95,Online Consultation
6744c6d59ab74e1b0c101c99,Auto-Replen
6744c6d59ab74e1b0c101c99,Duplicate thread
6745b8c993cb769cfbda8089,
67444c6e9ab74e1b0c2429fa,POG
67444c6e9ab74e1b0c2429fa,Nov 2024 - Plan
