id,conversation_id,direction,direction_type,channel,date_time
6743ce699ab74e1b0c334e54,6743ce2b9ab74e1b0c30b6f1,in,followup-in,whatsapp,2024-11-25 01:10:01.426000+00:00
6743ce2bdfd69115c2f2f7a6,6743ce2b9ab74e1b0c30b6f1,out,response-out,whatsapp,2024-11-25 01:08:59.907000+00:00
6743ce5a9ab74e1b0c32b358,6743ce2b9ab74e1b0c30b6f1,in,initial-in,whatsapp,2024-11-25 01:09:46.980000+00:00
674d95db522138b7a832dde3,6743ce2b9ab74e1b0c30b6f1,out,followup-out,whatsapp,2024-12-02 11:11:25.873000+00:00
98b26fbd889745f56c237f0a,6743ce2b9ab74e1b0c30b6f1,out,response-out,whatsapp,2024-12-02 10:47:30.977000+00:00
674d95d172150f91feca546a,6743ce2b9ab74e1b0c30b6f1,out,response-out,whatsapp,2024-12-02 11:11:22.298000+00:00
98b25b77f1f22bd608585ceb,6743ce2b9ab74e1b0c30b6f1,out,response-out,whatsapp,2024-12-02 12:14:00.553000+00:00
674d920e93cb769cfbcc942a,6743ce2b9ab74e1b0c30b6f1,in,response-in,whatsapp,2024-12-02 10:55:10.343000+00:00
6743e7209ab74e1b0c342335,6743e6489ab74e1b0c2b678f,in,followup-in,whatsapp,2024-11-25 02:55:28.484000+00:00
6743e6529ab74e1b0c2bd266,6743e6489ab74e1b0c2b678f,in,followup-in,whatsapp,2024-11-25 02:52:02.591000+00:00
6743e7189ab74e1b0c33d64d,6743e6489ab74e1b0c2b678f,in,followup-in,whatsapp,2024-11-25 02:55:20.990000+00:00
6743e6be9ab74e1b0c3022fc,6743e6489ab74e1b0c2b678f,in,followup-in,whatsapp,2024-11-25 02:53:50.677000+00:00
6743e6489ab74e1b0c2b645e,6743e6489ab74e1b0c2b678f,in,initial-in,whatsapp,2024-11-25 02:51:52.448000+00:00
6743e6ac9ab74e1b0c2f71dd,6743e6489ab74e1b0c2b678f,in,followup-in,whatsapp,2024-11-25 02:53:33.178000+00:00
67483e95eb6da7819adf2ad1,6743e6489ab74e1b0c2b678f,out,response-out,whatsapp,2024-11-28 10:01:59.718000+00:00
98b7c17434ff3d077ca82611,6743e6489ab74e1b0c2b678f,out,response-out,whatsapp,2024-11-28 09:57:31.912000+00:00
67483f4f93cb769cfb12e16e,6743e6489ab74e1b0c2b678f,in,response-in,whatsapp,2024-11-28 10:00:47.692000+00:00
67483f985133991d02301f73,6743e6489ab74e1b0c2b678f,out,followup-out,whatsapp,2024-11-28 10:02:03.638000+00:00
67441e749ab74e1b0c999069,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:51:33.380000+00:00
67441def9ab74e1b0c924f40,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:49:20.006000+00:00
67441f169ab74e1b0ca26018,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:54:14.433000+00:00
67441c339ab74e1b0c7a0d9c,67441c339ab74e1b0c7a12a9,in,initial-in,whatsapp,2024-11-25 06:41:55.549000+00:00
67441f189ab74e1b0ca28229,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:54:17.122000+00:00
67441e3f9ab74e1b0c96a00d,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:50:39.894000+00:00
67441e2f9ab74e1b0c95c9b9,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:50:23.485000+00:00
67441e099ab74e1b0c93cfb5,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:49:46.238000+00:00
67441cb39ab74e1b0c80b1a4,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:44:04.239000+00:00
67441c609ab74e1b0c7c59c9,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:42:40.597000+00:00
67441f179ab74e1b0ca27256,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:54:16.066000+00:00
67441f189ab74e1b0ca28032,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:54:17.001000+00:00
67441d479ab74e1b0c88f6ab,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:46:31.459000+00:00
67441dc09ab74e1b0c8fca89,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:48:32.768000+00:00
67441e4c9ab74e1b0c974e22,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-25 06:50:52.336000+00:00
98b8ae5643dd8d00a55ef88a,67441c339ab74e1b0c7a12a9,out,response-out,whatsapp,2024-11-27 17:06:49.922000+00:00
674770ab93cb769cfbb6d475,67441c339ab74e1b0c7a12a9,in,response-in,whatsapp,2024-11-27 19:19:08.024000+00:00
674b70a593cb769cfb6583d6,67441c339ab74e1b0c7a12a9,in,response-in,whatsapp,2024-11-30 20:08:05.877000+00:00
674b40f693cb769cfbf28134,67441c339ab74e1b0c7a12a9,in,response-in,whatsapp,2024-11-30 16:44:38.988000+00:00
674b70ad93cb769cfb65fdad,67441c339ab74e1b0c7a12a9,in,followup-in,whatsapp,2024-11-30 20:08:13.414000+00:00
674b7053a84eb465432014d3,67441c339ab74e1b0c7a12a9,out,response-out,whatsapp,2024-11-30 20:06:46.366000+00:00
674c3a6db612f1b32cf584f6,67441c339ab74e1b0c7a12a9,out,response-out,whatsapp,2024-12-01 10:29:06.151000+00:00
98b5385f8a103c74fdc74ee3,67441c339ab74e1b0c7a12a9,out,response-out,whatsapp,2024-11-30 08:06:57.475000+00:00
